#x, y, size, angle, response, octave, class_id
66.355209, 105.753616, 64.281609, 57.764999, 0.000368, 4, -1
58.060806, 107.827217, 64.281609, 74.538857, 0.000612, 4, -1
62.208008, 107.827217, 64.281609, 71.951660, 0.000218, 4, -1
102.021141, 22.394886, 77.137939, 46.228325, -0.000086, 5, -1
49.766411, 24.883205, 77.137939, 164.972473, -0.000029, 5, -1
109.486107, 27.371527, 77.137939, 35.219917, 0.000007, 5, -1
42.301449, 32.348167, 77.137939, 179.857681, 0.000391, 5, -1
114.462746, 32.348167, 77.137939, 38.784950, 0.000110, 5, -1
39.813129, 37.324810, 77.137939, 170.506607, 0.000431, 5, -1
49.766411, 37.324810, 77.137939, 163.607697, 0.000275, 5, -1
47.278091, 44.789772, 77.137939, 148.977264, 0.000084, 5, -1
57.231373, 49.766411, 77.137939, 112.883430, 0.000054, 5, -1
74.649620, 59.719696, 77.137939, 242.597137, -0.000019, 5, -1
87.091217, 67.184654, 77.137939, 307.432190, -0.000061, 5, -1
102.021141, 74.649620, 77.137939, 353.178223, 0.000718, 5, -1
92.067863, 77.137939, 77.137939, 3.076900, 0.000752, 5, -1
17.418243, 82.114578, 77.137939, 232.197128, 0.000303, 5, -1
97.044502, 82.114578, 77.137939, 19.446606, 0.000341, 5, -1
94.556183, 87.091217, 77.137939, 36.766727, 0.000022, 5, -1
29.859848, 89.579544, 77.137939, 215.506943, 0.000195, 5, -1
89.579544, 89.579544, 77.137939, 54.740215, 0.000043, 5, -1
37.324810, 97.044502, 77.137939, 167.328384, -0.000000, 5, -1
79.626259, 97.044502, 77.137939, 80.421959, 0.000143, 5, -1
74.649620, 99.532822, 77.137939, 88.469452, 0.000143, 5, -1
49.766411, 102.021141, 77.137939, 83.005981, 0.000063, 5, -1
52.254734, 106.997787, 77.137939, 90.291130, 0.000163, 5, -1
62.208015, 106.997787, 77.137939, 73.433220, 0.000113, 5, -1
57.231373, 109.486107, 77.137939, 80.294296, 0.000210, 5, -1
101.523483, 20.901894, 92.565529, 42.276070, -0.000044, 6, -1
47.775757, 23.887878, 92.565529, 158.831757, -0.000010, 6, -1
113.467422, 29.859848, 92.565529, 358.781342, 0.000057, 6, -1
41.803787, 32.845833, 92.565529, 168.519882, 0.000288, 6, -1
50.761742, 35.831818, 92.565529, 148.843231, 0.000220, 6, -1
41.803787, 38.817802, 92.565529, 170.360886, 0.000269, 6, -1
59.719696, 50.761742, 92.565529, 125.385239, 0.000005, 6, -1
74.649620, 59.719696, 92.565529, 294.328186, -0.000008, 6, -1
89.579544, 68.677650, 92.565529, 351.575714, 0.000069, 6, -1
98.537498, 71.663635, 92.565529, 8.154026, 0.000476, 6, -1
89.579544, 77.635605, 92.565529, 2.237691, 0.000403, 6, -1
95.551514, 86.593559, 92.565529, 26.899223, -0.000012, 6, -1
26.873863, 89.579544, 92.565529, 208.676117, 0.000025, 6, -1
89.579544, 89.579544, 92.565529, 34.107727, -0.000008, 6, -1
35.831818, 95.551514, 92.565529, 180.152054, -0.000033, 6, -1
41.803787, 98.537498, 92.565529, 152.242645, -0.000035, 6, -1
77.635605, 98.537498, 92.565529, 72.968575, 0.000022, 6, -1
47.775757, 101.523483, 92.565529, 108.230621, 0.000012, 6, -1
62.705681, 107.495453, 92.565529, 82.628448, 0.000097, 6, -1
114.661819, 32.248638, 111.078636, 6.827495, 0.000023, 7, -1
53.747726, 35.831818, 111.078636, 143.779739, 0.000101, 7, -1
57.330910, 50.164547, 111.078636, 205.678223, 0.000001, 7, -1
71.663635, 57.330910, 111.078636, 86.624611, -0.000012, 7, -1
89.579544, 68.080452, 111.078636, 23.277233, 0.000092, 7, -1
100.329094, 71.663635, 111.078636, 26.628183, 0.000241, 7, -1
85.996368, 78.830002, 111.078636, 6.166997, 0.000190, 7, -1
93.162727, 85.996368, 111.078636, 17.442202, 0.000079, 7, -1
28.665455, 89.579544, 111.078636, 143.390030, -0.000002, 7, -1
85.996368, 93.162727, 111.078636, 39.075672, -0.000012, 7, -1
39.415001, 96.745911, 111.078636, 137.940643, -0.000032, 7, -1
78.830002, 96.745911, 111.078636, 55.906681, -0.000003, 7, -1
50.164547, 103.912277, 111.078636, 117.641785, 0.000023, 7, -1
